CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
Portezuelo,15995,12501,5883,559,6420,2063,219,6081,3820,340
Quillón,5213,4242,1643,124,2138,568,35,2104,1075,89
Quirihue,4862,3943,1733,117,1975,564,40,1968,1169,77
Ránquil,5755,4640,2061,160,2367,688,44,2273,1373,116
San Carlos,5401,4333,1805,177,2186,618,61,2147,1187,116
San Fabián,53024,41721,19799,1866,22008,7481,706,19713,12318,1160
San Ignacio,26881,20739,9785,986,10424,3091,357,10315,6694,629
San Nicolás,11152,8930,3516,396,4450,1058,90,4480,2458,306
Treguaco,4308,3443,1634,159,1662,528,60,1781,1106,99
Yungay,11603,9320,4261,367,4702,1408,127,4618,2853,240
